Location,Loc_code,Site,Site_code,Transect,Percent_Hard_coral,Percent_Reef_substrate,Percent_Soft_corals,Percent_Acropora,Percent_Poritdae,Percent_Montipora,Percent_Pocilloporidae,Percent_Favidae,Percent_Other_hard_corals,Percent_Other,Number_spp,Shannon_Weiner_H_prime,J_prime,C_aureofasciatus,C_baronessa,C_bennetti,C_lunulatus,C_melannotus,C_ornatissimus,C_plebius,C_rainfordi,C_reticulatus,C_trifascialis,C_unimaculatus,C_auriga,C_citrinellus,C_ephippium,C_flavirostris,C_kleinii,C_lineolatus,C_lunula,C_oxycephalus,C_pelewensis,C_quadrimaculatus,C_rafflesi,C_speculum,C_ulientensis,C_vagabundus,C_semion,Number_spp_present,Shannon ,Shannon_J_prime,Total_focal_spp,Total_other_spp,Total,Number_spp_OC_present,Number_spp_FC_present,Total_abundance,Total_OC_abundance,Total_FC_abundance,Coral_cov_by_corallivore_tot_abund,Coral_cov_by_OC_abun
HI,1,"1st Mooring, Sth Heron",1,1,16.5,82,0,15.5,0,0.5,0.5,0,0,1.5,6,0.397110177,0.063179756,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.407787232,0.299501178,1,3,4,3,0,4,4,0,4.1,4.1
HI,1,"1st Mooring, Sth Heron",1,2,9.5,85.5,0,5,0,3.5,0,0.5,0.5,5,8,0.417482917,0.066421034,1,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6,2.125,0.452085364,2,6,8,4,2,8,6,2,1.2,1.6
HI,1,"1st Mooring, Sth Heron",1,3,13,86.5,0,9.5,0,2.5,0,1,0,0.5,7,0.479759184,0.076329114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.389975,0.082965642,0,1,1,0,1,1,0,1,13,NA
HI,1,"1st Mooring, Sth Heron",1,4,22,69.5,6,15.5,0.5,4.5,0,1.5,0,2.5,10,0.893022923,0.142078882,0,0,0,2,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.5,0.31911908,2,9,11,4,0,11,11,0,2,2
HI,1,"1st Mooring, Sth Heron",1,5,25,70,4.5,13,3,5.5,1.5,1.5,0.5,0.5,16,1.051585889,0.167306061,3,0,0,2,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.057542476,0.224987988,2,10,12,4,0,12,12,0,2.1,2.1
HI,1,2nd Point,2,1,45,53,0,17.5,0,5.5,2.5,3.5,16,2,25,1.721330181,0.27386158,0,2,0,0,1,0,5,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7,0.389975,0.082965642,1,13,14,4,3,14,11,3,3.2,4.1
HI,1,2nd Point,2,2,49.5,49,0,27,0.5,4.5,3.5,1,13,1.5,22,1.953544109,0.310806539,0,0,0,4,0,0,1,4,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,7,0,0,6,10,16,4,3,16,11,5,3.1,4.5
HI,1,2nd Point,2,3,50.5,47,0,30,0.5,0.5,3,1.5,15,2.5,25,2.088300378,0.332246101,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.405557621,0.299026837,1,2,3,2,0,3,3,0,16.8,16.8
HI,1,2nd Point,2,4,65,34.5,0,40.5,0.5,2,4.5,0.5,17,0.5,21,2.374896754,0.377843242,0,0,0,2,0,0,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,3,8,4,1,8,6,2,8.1,10.8
HI,1,2nd Point,2,5,47,50,1.5,18.5,0.5,5,2.5,1.5,19,1.5,20,1.488329463,0.236791443,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3,5,3,0,5,5,0,9.4,9.4
HI,1,"4th Mooring, Sth Heron",3,1,34.5,65,0.5,21,0,0.5,3,0,10,0,13,1.397919615,0.222407344,1,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0.5,0.106373027,1,7,8,3,2,8,6,2,4.3,5.8
HI,1,"4th Mooring, Sth Heron",3,2,53,46.5,0,21.5,0,0,2.5,2.5,26.5,0.5,13,1.560440361,0.248264201,5,0,0,1,0,0,3,3,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0.212746054,4,12,16,5,2,16,13,3,3.3,4.1
HI,1,"4th Mooring, Sth Heron",3,3,44,54.5,0.5,23.5,0,2,3,0.5,15,1,14,1.546044341,0.245973812,0,0,0,0,0,0,7,6,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,5,0,0,1,16,17,3,2,17,14,3,2.6,3.1
